,BlockList,BlockList.Cycle,BlockList.Sample,Display.RefreshRate,Experiment,Group,LevelName,PP.Onset,PracticeMode,Procedure,RandomSeed,Running,Session,SessionDate,SessionTime,Subject,Target_time,VersionPersist,c_SessionDate,c_Subject,nbTrials
0,1,1,1,59.869,ReactionTime_66_trial,1,LogLevel10,103804,no,BlockProc,771072109,BlockList,1,01-01-2002,03:05:08,16069,270,1,06-16-2009,16069,66
1,1,1,1,59.871,MIDT_forscan,1,LogLevel10,123000,no,BlockProc,-1478377791,BlockList,1,06-30-2009,14:19:14,30069,270,1,06-30-2009,30069,66
2,1,1,1,59.868,MIDT_forscan,1,LogLevel10,119936,no,BlockProc,-1362190931,BlockList,1,07-07-2009,13:49:22,07079,270,1,07-07-2009,07079,66
3,1,1,1,59.868,MIDT_forscan,1,LogLevel10,106377,no,BlockProc,1102882451,BlockList,1,01-01-2002,03:45:21,22099,270,1,09-22-2009,22099,66
4,1,1,1,59.868,MIDT_forscan,1,LogLevel10,85632,no,BlockProc,-249341032,BlockList,29099,01-01-2002,04:59:11,29099,270,1,09-29-2009,29099,66
5,1,1,1,59.897,MIDT_forscan,1,LogLevel10,104898,no,BlockProc,-1842070536,BlockList,1,11-10-2009,13:53:21,10119,270,1,11-10-2009,10119,66
6,1,1,1,59.868,MIDT_forscan,1,LogLevel10,124520,no,BlockProc,1616052241,BlockList,1,01-01-2002,01:24:02,17119,270,1,11-17-2009,17119,66
7,1,1,1,59.868,MIDT_forscan,1,LogLevel10,129506,no,BlockProc,-1873265872,BlockList,1,12-01-2009,13:58:03,08129,270,1,12-08-2009,08129,66
8,1,1,1,59.869,MIDT_forscan,1,LogLevel10,171330,no,BlockProc,-405665963,BlockList,1,01-01-2002,04:41:36,12010,270,1,01-12-2010,12010,66
9,1,1,1,59.869,MIDT_forscan,1,LogLevel10,94320,no,BlockProc,952410236,BlockList,1,01-19-2010,13:45:06,19010,270,1,01-19-2010,19010,66
10,1,1,1,59.868,MIDT_forscan,1,LogLevel10,109133,no,BlockProc,1862441531,BlockList,1,01-01-2002,04:40:24,26010,270,1,01-26-2010,26010,66
11,1,1,1,59.869,MIDT_forscan,1,LogLevel10,156548,no,BlockProc,645449251,BlockList,1,01-01-2002,04:25:29,02020,270,1,02-02-2010,02020,66
12,1,1,1,59.871,MIDT_forscan,1,LogLevel10,122340,no,BlockProc,-1891470952,BlockList,1,03-16-2010,12:44:19,16030,270,1,03-16-2010,16030,66
13,1,1,1,59.871,MIDT_forscan,1,LogLevel10,71713,no,BlockProc,144297558,BlockList,1,03-23-2010,13:52:58,23030,270,1,03-23-2010,23030,66
14,1,1,1,59.871,MIDT_forscan,1,LogLevel10,62848,no,BlockProc,-1996488939,BlockList,1,03-30-2010,13:49:51,30030,270,1,03-30-2010,30030,66
15,1,1,1,59.871,MIDT_forscan,1,LogLevel10,143758,no,BlockProc,828332881,BlockList,1,04-06-2010,14:02:12,06040,270,1,04-06-2010,06040,66
16,1,1,1,59.871,MIDT_forscan,1,LogLevel10,123341,no,BlockProc,1777041183,BlockList,1,04-13-2010,14:40:25,13040,270,1,04-13-2010,13040,66
17,1,1,1,59.871,MIDT_forscan,1,LogLevel10,121593,no,BlockProc,-839895263,BlockList,1,05-04-2010,13:45:50,04050,270,1,05-04-2010,04050,66
18,1,1,1,59.871,MIDT_forscan,1,LogLevel10,135472,no,BlockProc,1987349263,BlockList,1,05-11-2010,13:58:12,11050,270,1,05-11-2010,11050,66
19,1,1,1,59.868,MIDT_forscan,1,LogLevel10,58704,no,BlockProc,2102552083,BlockList,1,01-06-2002,02:58:10,15060,270,1,06-15-2010,15060,66
20,1,1,1,59.868,MIDT_forscan,1,LogLevel10,133585,no,BlockProc,1638223338,BlockList,1,01-01-2002,04:55:50,05100,270,1,10-05-2010,05100,66
21,1,1,1,59.867,MIDT_forscan,1,LogLevel10,151700,no,BlockProc,-1151512393,BlockList,1,11-30-2010,03:14:36,30110,270,1,11-30-2010,30110,66
22,1,1,1,59.869,MIDT_forscan,1,LogLevel10,153747,no,BlockProc,1512003736,BlockList,1,01-01-2002,04:52:25,07120,270,1,12-07-2010,07120,66
23,1,1,1,59.868,MIDT_forscan,1,LogLevel10,84428,no,BlockProc,-566481912,BlockList,1,01-01-2002,04:52:24,18011,270,1,01-18-2011,18011,66
24,1,1,1,59.868,MIDT_forscan,1,LogLevel10,78202,no,BlockProc,1295681958,BlockList,1,01-01-2002,04:38:02,25011,270,1,01-25-2011,25011,66
25,1,1,1,59.871,MIDT_forscan,1,LogLevel10,74424,no,BlockProc,-346389439,BlockList,1,01-02-2002,04:06:04,01021,270,1,02-01-2011,01021,66
26,1,1,1,59.869,MIDT_forscan,1,LogLevel10,129316,no,BlockProc,-137453926,BlockList,1,01-02-2002,03:08:11,08021,270,1,02-08-2011,08021,66
27,1,1,1,59.868,MIDT_forscan,1,LogLevel10,92583,no,BlockProc,-1043044249,BlockList,1,01-13-2002,15:22:23,22021,270,1,02-22-2011,22021,66
28,1,1,1,59.867,MIDT_forscan,1,LogLevel10,125991,no,BlockProc,-2047899102,BlockList,1,01-01-2002,03:48:06,15031,270,1,03-15-2011,15031,66
29,1,1,1,59.868,MIDT_forscan,1,LogLevel10,142013,no,BlockProc,-1395665639,BlockList,1,01-01-2002,04:57:19,09030,270,1,03-09-2010,09030,66
30,1,1,1,59.910,MIDT_forscan,1,LogLevel10,133850,no,BlockProc,70353417,BlockList,1,03-22-2011,12:22:36,22031,270,1,03-22-2011,22031,66
