,c_Subject,Subject,c_SessionDate,SessionDate,SessionTime,nbTrials,PP.Onset
0,16069,16069,06-16-2009,01-01-2002,03:05:08,66,103804
1,30069,30069,06-30-2009,06-30-2009,14:19:14,66,123000
2,07079,07079,07-07-2009,07-07-2009,13:49:22,66,119936
3,22099,22099,09-22-2009,01-01-2002,03:45:21,66,106377
4,29099,29099,09-29-2009,01-01-2002,04:59:11,66,85632
5,10119,10119,11-10-2009,11-10-2009,13:53:21,66,104898
6,17119,17119,11-17-2009,01-01-2002,01:24:02,66,124520
7,08129,08129,12-08-2009,12-01-2009,13:58:03,66,129506
8,12010,12010,01-12-2010,01-01-2002,04:41:36,66,171330
9,19010,19010,01-19-2010,01-19-2010,13:45:06,66,94320
10,26010,26010,01-26-2010,01-01-2002,04:40:24,66,109133
11,02020,02020,02-02-2010,01-01-2002,04:25:29,66,156548
12,16030,16030,03-16-2010,03-16-2010,12:44:19,66,122340
13,23030,23030,03-23-2010,03-23-2010,13:52:58,66,71713
14,30030,30030,03-30-2010,03-30-2010,13:49:51,66,62848
15,06040,06040,04-06-2010,04-06-2010,14:02:12,66,143758
16,13040,13040,04-13-2010,04-13-2010,14:40:25,66,123341
17,04050,04050,05-04-2010,05-04-2010,13:45:50,66,121593
18,11050,11050,05-11-2010,05-11-2010,13:58:12,66,135472
19,15060,15060,06-15-2010,01-06-2002,02:58:10,66,58704
20,05100,05100,10-05-2010,01-01-2002,04:55:50,66,133585
21,30110,30110,11-30-2010,11-30-2010,03:14:36,66,151700
22,07120,07120,12-07-2010,01-01-2002,04:52:25,66,153747
23,18011,18011,01-18-2011,01-01-2002,04:52:24,66,84428
24,25011,25011,01-25-2011,01-01-2002,04:38:02,66,78202
25,01021,01021,02-01-2011,01-02-2002,04:06:04,66,74424
26,08021,08021,02-08-2011,01-02-2002,03:08:11,66,129316
27,22021,22021,02-22-2011,01-13-2002,15:22:23,66,92583
28,15031,15031,03-15-2011,01-01-2002,03:48:06,66,125991
29,09030,09030,03-09-2010,01-01-2002,04:57:19,66,142013
30,22031,22031,03-22-2011,03-22-2011,12:22:36,66,133850
